player_id,season_label,goals,assists,shots_on_target,minutes_played,market_value,market_value_next_season,age_in_days
1280,2019-2020,0,1,1,204,4000000,2800000.0,10100
1280,2020-2021,1,3,2,874,2800000,,10465
1302,2017-2018,0,0,3,115,5000000,5000000.0,9027
1302,2017-2018,3,3,12,1222,5000000,3000000.0,9027
1302,2018-2019,2,1,5,631,3000000,1600000.0,9392
1302,2019-2020,0,0,0,96,1600000,1200000.0,9757
1302,2020-2021,1,0,1,208,1200000,1000000.0,10122
1302,2021-2022,0,0,2,279,1000000,,10488
1311,2017-2018,5,2,21,2631,5000000,4000000.0,10440
1311,2018-2019,0,0,3,377,4000000,4000000.0,10805
1311,2018-2019,2,0,5,828,4000000,2400000.0,10805
1311,2019-2020,2,3,11,1960,2400000,1500000.0,11170
1311,2020-2021,1,0,17,1819,1500000,,11535
1312,2017-2018,0,0,2,217,2000000,10000000.0,9308
1312,2018-2019,4,11,23,2971,10000000,2800000.0,9673
1312,2020-2021,0,2,4,871,2800000,,10403
1313,2020-2021,0,2,2,1398,3500000,3500000.0,10426
1313,2020-2021,1,0,6,668,3500000,,10426
1316,2017-2018,0,2,7,1209,2000000,2000000.0,9137
1316,2018-2019,2,1,10,1533,2000000,,9502
1333,2017-2018,3,1,10,345,7500000,4000000.0,7211
1333,2018-2019,3,2,15,1621,4000000,3200000.0,7576
1333,2019-2020,8,2,18,2140,3200000,14000000.0,7941
1333,2020-2021,0,0,0,23,14000000,9000000.0,8306
1333,2021-2022,6,1,6,1044,9000000,,8672
1335,2019-2020,1,0,4,864,1600000,2200000.0,10591
1335,2020-2021,5,1,10,2090,2200000,1200000.0,10956
1335,2021-2022,1,1,8,1614,1200000,,11322
1339,2017-2018,0,0,3,374,1500000,1000000.0,9129
1339,2018-2019,0,0,4,295,1000000,800000.0,9494
1339,2019-2020,0,0,0,78,800000,,9859
1351,2017-2018,0,0,3,391,2500000,7000000.0,7054
1351,2019-2020,2,1,18,889,7000000,5000000.0,7784
1351,2020-2021,2,1,9,918,5000000,1500000.0,8149
1351,2021-2022,0,0,1,39,1500000,,8515
1352,2017-2018,12,5,31,2772,35000000,50000000.0,7195
1352,2018-2019,13,2,23,3153,50000000,48000000.0,7560
1352,2019-2020,10,11,18,3051,48000000,70000000.0,7925
1352,2020-2021,11,8,22,2408,70000000,60000000.0,8290
1352,2021-2022,9,3,12,1671,60000000,,8656
1354,2017-2018,0,0,6,802,2000000,,7155
1371,2017-2018,8,0,10,853,7500000,9000000.0,7608
1371,2018-2019,2,0,1,811,9000000,7500000.0,7973
1371,2020-2021,3,0,12,932,7500000,,8703
1379,2021-2022,0,0,1,253,1200000,1200000.0,9784
1379,2021-2022,0,0,0,394,1200000,,9784
1395,2017-2018,0,0,2,628,800000,800000.0,8845
1395,2018-2019,0,0,2,140,800000,650000.0,9210
1395,2019-2020,0,0,0,109,650000,,9575
1397,2017-2018,2,2,5,1060,2000000,1500000.0,10307
1397,2018-2019,0,0,0,10,1500000,,10672
1405,2019-2020,0,1,3,313,800000,3000000.0,7945
1405,2020-2021,2,3,12,1433,3000000,3000000.0,8310
1405,2021-2022,2,0,6,865,3000000,,8676
1407,2017-2018,9,3,26,1700,28000000,40000000.0,9639
1407,2018-2019,18,9,34,2812,40000000,,10004
1408,2020-2021,8,4,15,2278,15000000,12000000.0,8947
1408,2021-2022,3,6,14,2168,12000000,,9313
1424,2017-2018,1,1,5,1193,10000000,,8177
1431,2017-2018,4,0,14,1596,1800000,12000000.0,7154
1431,2018-2019,9,2,23,2106,12000000,12000000.0,7519
1431,2019-2020,4,0,8,796,12000000,12000000.0,7884
1431,2019-2020,4,2,18,1385,12000000,40000000.0,7884
1431,2020-2021,18,0,27,2311,40000000,25000000.0,8249
1431,2021-2022,5,1,12,1277,25000000,,8615
1436,2017-2018,1,0,2,467,300000,,7497
1446,2017-2018,0,1,1,229,800000,800000.0,7785
1446,2017-2018,0,0,2,729,800000,,7785
1447,2017-2018,0,0,0,18,200000,,7616
1457,2017-2018,0,0,0,55,1250000,,9461
1458,2017-2018,8,1,28,2460,1000000,1500000.0,7215
1458,2018-2019,3,0,17,1298,1500000,300000.0,7580
1458,2019-2020,5,1,18,1767,300000,200000.0,7945
