player_id,season_label,pass_completed,tackles_won,interceptions,assists,goals,minutes_played,market_value,market_value_next_season,age_in_days
917,2019-2020,303,8,19,0,2,1361,800000,800000,9516
917,2020-2021,29,1,1,0,0,101,800000,,9881
926,2017-2018,549,15,15,0,1,1252,6000000,4000000,8254
926,2019-2020,428,10,15,1,0,1293,4000000,1000000,8984
926,2021-2022,41,1,2,0,0,108,1000000,,9715
932,2017-2018,353,7,5,0,2,401,12000000,30000000,7452
932,2018-2019,953,21,15,0,3,1248,30000000,14000000,7817
932,2021-2022,240,5,4,0,0,276,14000000,,8913
942,2018-2019,112,8,8,2,0,450,1800000,1200000,8897
942,2019-2020,216,19,8,0,0,877,1200000,,9262
944,2017-2018,1213,43,52,2,1,2782,11000000,14000000,8411
944,2018-2019,1010,35,22,2,5,2709,14000000,11000000,8776
944,2019-2020,805,23,24,1,2,2658,11000000,14000000,9141
944,2021-2022,1427,22,26,9,3,3125,14000000,,9872
966,2017-2018,189,4,4,1,0,476,1000000,,8806
980,2017-2018,442,34,15,3,4,1762,2000000,1000000,8222
980,2018-2019,10,0,0,0,0,20,1000000,,8587
1011,2017-2018,32,1,3,0,0,101,5000000,,9798
1013,2017-2018,97,4,2,0,0,251,1000000,,7345
1030,2018-2019,131,6,1,0,0,223,15000000,9500000,9089
1030,2019-2020,139,2,1,0,0,186,9500000,9500000,9454
1030,2019-2020,1125,37,33,1,4,2111,9500000,9000000,9454
1030,2021-2022,582,27,12,0,1,1050,9000000,,10185
1044,2017-2018,478,12,18,0,0,1122,2000000,,11287
1057,2017-2018,1612,41,22,4,3,2698,20000000,15000000,9208
1057,2018-2019,857,35,16,0,0,1547,15000000,12000000,9573
1057,2019-2020,783,21,4,4,2,1547,12000000,12000000,9938
1057,2020-2021,1380,30,17,6,1,2527,12000000,14000000,10303
1057,2021-2022,965,25,13,4,6,2178,14000000,,10669
1073,2017-2018,32,1,1,0,0,37,2500000,,8403
1092,2017-2018,952,39,34,3,3,2300,4000000,,10446
1108,2021-2022,1106,30,21,1,3,2151,40000000,,9719
1118,2017-2018,738,45,30,4,1,2385,2500000,3200000,10380
1118,2019-2020,115,1,4,0,0,403,3200000,,11110
1125,2017-2018,1312,59,70,1,0,2775,4000000,4000000,9719
1125,2018-2019,1159,34,49,1,0,2476,4000000,4800000,10084
1125,2019-2020,1240,30,52,1,0,3029,4800000,3000000,10449
1125,2020-2021,865,19,33,1,0,1920,3000000,3000000,10814
1125,2021-2022,804,22,24,0,0,2177,3000000,,11180
1127,2017-2018,314,12,4,0,0,635,15000000,,8556
1133,2018-2019,184,4,6,0,0,372,3000000,,8064
1145,2017-2018,1013,24,30,4,6,2427,4000000,12000000,8215
1145,2018-2019,1473,40,32,4,4,2875,12000000,14500000,8580
1145,2019-2020,1482,34,26,2,2,2254,14500000,30000000,8945
1145,2020-2021,1771,28,27,6,1,2406,30000000,22000000,9310
1145,2021-2022,1601,30,30,1,0,2514,22000000,,9676
1146,2017-2018,763,12,16,4,0,1473,2000000,2000000,9431
1146,2018-2019,597,10,9,0,0,1155,2000000,,9796
1147,2017-2018,177,8,6,2,0,610,1500000,2000000,8378
1147,2018-2019,169,6,6,2,2,670,2000000,,8743
1148,2018-2019,188,7,9,0,1,717,2000000,,9691
1151,2017-2018,1982,35,16,7,5,2261,80000000,60000000,9859
1151,2018-2019,1980,35,14,4,0,2221,60000000,48000000,10224
1151,2019-2020,2224,28,23,5,4,2652,48000000,40000000,10589
1151,2020-2021,1934,22,15,10,3,2117,40000000,20000000,10954
1151,2021-2022,2068,26,12,3,1,2103,20000000,,11320
1160,2018-2019,218,5,1,0,0,328,1500000,2400000,8099
1160,2019-2020,1008,22,18,4,1,1787,2400000,12000000,8464
1160,2020-2021,850,17,18,0,3,1424,12000000,4000000,8829
1160,2021-2022,690,9,10,0,0,1160,4000000,,9195
1163,2020-2021,97,2,4,0,0,168,500000,0,10102
1163,2021-2022,3,0,0,0,0,13,0,,10468
1174,2017-2018,44,1,3,0,0,72,1800000,1800000,8328
1174,2017-2018,368,14,13,0,2,947,1800000,1800000,8328
1174,2018-2019,623,8,17,0,3,1149,1800000,,8693
1187,2019-2020,1311,19,17,6,4,2527,45000000,40000000,7320
1187,2020-2021,145,0,1,0,0,234,40000000,,7685
1193,2017-2018,1182,64,53,0,3,2377,25000000,50000000,8603
1193,2018-2019,1133,42,49,4,3,2070,50000000,40000000,8968
1193,2019-2020,1371,41,48,0,3,2549,40000000,40000000,9333
1193,2020-2021,197,4,2,0,0,200,40000000,,9698
1203,2017-2018,523,16,10,1,0,1105,6000000,3200000,8730
1203,2019-2020,837,19,23,0,1,1993,3200000,2500000,9460
1203,2020-2021,588,15,19,2,0,1121,2500000,2000000,9825
1203,2021-2022,384,8,22,0,0,1214,2000000,,10191
1209,2019-2020,233,13,3,1,1,419,32000000,,10035
1218,2017-2018,312,9,2,2,2,595,15000000,12000000,8396
1218,2018-2019,14,0,0,0,0,19,12000000,9500000,8761
1218,2019-2020,658,15,14,5,1,1630,9500000,12000000,9126
1218,2020-2021,1650,32,22,9,0,2852,12000000,10000000,9491
1218,2021-2022,1639,29,16,6,4,2819,10000000,,9857
1229,2019-2020,236,1,5,1,2,876,1200000,1200000,8947
1229,2020-2021,213,6,12,0,0,767,1200000,,9312
1266,2017-2018,971,27,38,0,0,1566,800000,,10653
1268,2019-2020,238,4,5,1,0,599,5500000,,7816
1289,2017-2018,623,15,23,3,4,2533,3000000,1500000,9782
1289,2018-2019,176,3,7,0,0,631,1500000,1200000,10147
1289,2019-2020,209,5,7,0,0,815,1200000,,10512
1290,2017-2018,490,35,32,0,1,1565,2500000,4000000,8681
1290,2018-2019,591,28,21,1,4,1789,4000000,3200000,9046
1290,2019-2020,447,22,29,1,0,1674,3200000,2500000,9411
1290,2021-2022,265,14,21,0,5,1300,2500000,,10142
1294,2017-2018,1047,33,22,12,3,2620,25000000,25000000,7619
1294,2018-2019,897,26,24,3,2,2479,25000000,,7984
1298,2017-2018,774,13,17,0,0,1525,2500000,,10350
1304,2017-2018,412,26,14,0,1,1434,1500000,2500000,8050
1304,2018-2019,320,16,13,1,1,1199,2500000,3000000,8415
1304,2021-2022,836,19,23,4,0,1890,3000000,,9511
1307,2017-2018,387,7,5,1,2,1304,2500000,,7502
1308,2017-2018,214,9,8,0,0,351,700000,,9625
1318,2017-2018,742,27,5,1,0,992,30000000,,8276
1322,2017-2018,894,35,49,1,0,2135,2000000,,8104
1325,2017-2018,401,8,5,0,0,546,12000000,20000000,8007
1325,2018-2019,350,12,7,0,0,540,20000000,16000000,8372
1325,2019-2020,382,15,14,3,3,1368,16000000,80000000,8737
1325,2020-2021,1097,42,29,11,12,2956,80000000,45000000,9102
1325,2021-2022,1055,23,27,2,0,2447,45000000,,9468
1340,2017-2018,202,10,0,0,0,343,7000000,7000000,10070
1340,2018-2019,817,27,14,2,2,1746,7000000,5500000,10435
1340,2019-2020,716,21,11,3,1,2012,5500000,2500000,10800
1340,2020-2021,713,29,14,0,1,1761,2500000,,11165
1344,2019-2020,448,8,13,5,2,973,1200000,1200000,11147
1344,2020-2021,515,9,22,1,1,1362,1200000,1000000,11512
